"REF_DATE","GEO","DGUID","Seasonal adjustment","Activities","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-04","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","85.3","","","","1"
"2018-07","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","89.3","","","","1"
"2018-10","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","84.1","","","","1"
"2019-01","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","84.3","","","","1"
"2019-04","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","85.0","","","","1"
"2019-07","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","89.0","","","","1"
"2019-10","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","88.4","","","","1"
"2020-01","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","84.4","","","","1"
"2020-04","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","67.3","","","","1"
"2010-01","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","47.4","","","","1"
"2010-04","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","46.4","","","","1"
"2010-07","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","46.4","","","","1"
"2010-10","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","45.0","","","","1"
"2011-01","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","45.1","","","","1"
"2011-04","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","46.1","","","","1"
"2011-07","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","48.2","","","","1"
"2011-10","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","47.8","","","","1"
"2012-01","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","47.0","","","","1"
"2012-04","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","48.2","","","","1"
"2012-07","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","50.8","","","","1"
"2012-10","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","50.8","","","","1"
"2013-01","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","50.8","","","","1"
"2013-04","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","50.7","","","","1"
"2013-07","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","51.2","","","","1"
"2013-10","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","50.8","","","","1"
"2014-01","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","50.8","","","","1"
"2014-04","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","52.2","","","","1"
"2014-07","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","51.9","","","","1"
"2014-10","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","53.1","","","","1"
"2015-01","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","51.4","","","","1"
"2015-04","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","52.6","","","","1"
"2015-07","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","52.8","","","","1"
"2015-10","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","52.1","","","","1"
"2016-01","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","51.2","","","","1"
"2016-04","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","53.1","","","","1"
"2016-07","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","54.7","","","","1"
"2016-10","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","53.7","","","","1"
"2017-01","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","52.5","","","","1"
"2017-04","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","55.1","","","","1"
"2017-07","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","55.6","","","","1"
"2017-10","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","55.0","","","","1"
"2018-01","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","52.3","","","","1"
"2018-04","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","52.6","","","","1"
"2018-07","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","55.4","","","","1"
"2018-10","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","54.0","","","","1"
"2019-01","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","54.8","","","","1"
"2019-04","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","54.7","","","","1"
"2019-07","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","57.1","","","","1"
"2019-10","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","58.6","","","","1"
"2020-01","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","56.8","","","","1"
"2020-04","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","47.4","","","","1"
"2010-01","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.2","","","","1"
"2010-04","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.9","","","","1"
"2010-07","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.1","","","","1"
"2010-10","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","30.2","","","","1"
"2011-01","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","30.1","","","","1"
"2011-04","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.4","","","","1"
"2011-07","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.8","","","","1"
"2011-10","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.7","","","","1"
"2012-01","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","30.2","","","","1"
"2012-04","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.4","","","","1"
"2012-07","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","32.7","","","","1"
"2012-10","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.6","","","","1"
"2013-01","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","30.3","","","","1"
"2013-04","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.5","","","","1"
"2013-07","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","33.6","","","","1"
"2013-10","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","33.4","","","","1"
"2014-01","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.4","","","","1"
"2014-04","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","32.2","","","","1"
"2014-07","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","34.3","","","","1"
"2014-10","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","32.9","","","","1"
"2015-01","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","30.9","","","","1"
"2015-04","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","32.2","","","","1"
"2015-07","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","34.2","","","","1"
"2015-10","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","33.1","","","","1"
"2016-01","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.4","","","","1"
"2016-04","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","32.4","","","","1"
"2016-07","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","34.1","","","","1"
"2016-10","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","32.7","","","","1"
"2017-01","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.7","","","","1"
"2017-04","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","32.6","","","","1"
"2017-07","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","34.1","","","","1"
"2017-10","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","32.4","","","","1"
"2018-01","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.4","","","","1"
"2018-04","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","32.7","","","","1"
"2018-07","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","33.9","","","","1"
"2018-10","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","30.1","","","","1"
"2019-01","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","29.5","","","","1"
"2019-04","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","30.3","","","","1"
"2019-07","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","31.9","","","","1"
"2019-10","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","29.8","","","","1"
"2020-01","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","27.6","","","","1"
"2020-04","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","19.9","","","","1"
"2010-01","Canada","2016A000011124","Unadjusted","Accommodation","Jobs","190","thousands","3","v81682","1.1.10","141.5","","","","1"
